source_url,slug,post_id,title,status,old_terms,new_terms,detail
https://defiliban.io/bitcoin-network-transactions-and-fees-surge-amid-investor-de-risking/,bitcoin-network-transactions-and-fees-surge-amid-investor-de-risking,2208,Bitcoin Network Transactions and Fees Surge Amid Investor De-risking,not_present,23:Hot|24:Mining|29:Trading,23:Hot|24:Mining|29:Trading,"target tag not present; touched post: {
    ""post_id"": 2208,
    ""post_modified"": ""2026-05-25 11:38:56""
}"
https://defiliban.io/shiba-inu-shib-and-dogecoin-doge-to-provide-king-sized-returns/,shiba-inu-shib-and-dogecoin-doge-to-provide-king-sized-returns,2198,Shiba Inu (SHIB) and Dogecoin (DOGE) to Provide King Sized Returns,not_present,22:Featured|27:NFT|28:rading,22:Featured|27:NFT|28:rading,"target tag not present; touched post: {
    ""post_id"": 2198,
    ""post_modified"": ""2026-05-25 11:39:00""
}"
https://defiliban.io/bitcoin-to-reach-100k-by-2023-says-bitbull-capital-ceo/,bitcoin-to-reach-100k-by-2023-says-bitbull-capital-ceo,2186,"Bitcoin to Reach $100K by 2023, Says Bitbull Capital CEO",not_present,19:Binance|24:Mining|27:NFT,19:Binance|24:Mining|27:NFT,"target tag not present; touched post: {
    ""post_id"": 2186,
    ""post_modified"": ""2026-05-25 11:39:11""
}"
https://defiliban.io/heres-why-blue-chip-nft-prices-continue-to-soar-nearly-a-week/,heres-why-blue-chip-nft-prices-continue-to-soar-nearly-a-week,2190,Here’s Why Blue-chip NFT Prices Continue to Soar Nearly a Week,not_present,19:Binance|20:Business|24:Mining,19:Binance|20:Business|24:Mining,"target tag not present; touched post: {
    ""post_id"": 2190,
    ""post_modified"": ""2026-05-25 11:39:15""
}"
https://defiliban.io/bitcoin-price-hits-10-week-lows-as-40k-spike-becomes/,bitcoin-price-hits-10-week-lows-as-40k-spike-becomes,2183,Bitcoin Price Hits 10-week Lows as $40K Spike Becomes,not_present,24:Mining|25:Money|29:Trading,24:Mining|25:Money|29:Trading,"target tag not present; touched post: {
    ""post_id"": 2183,
    ""post_modified"": ""2026-05-25 11:39:20""
}"
https://defiliban.io/the-united-states-turns-its-attention-to-stablecoin-regulation/,the-united-states-turns-its-attention-to-stablecoin-regulation,2260,The United States Turns It is Attention to Stablecoin Regulation,not_present,25:Money|26:News|29:Trading,25:Money|26:News|29:Trading,"target tag not present; touched post: {
    ""post_id"": 2260,
    ""post_modified"": ""2026-05-25 11:39:25""
}"
https://defiliban.io/blockchain-technology-to-power-de-beers-diamond-production/,blockchain-technology-to-power-de-beers-diamond-production,33,Blockchain Technology to Power De Beers’ Diamond Production,not_present,19:Binance|20:Business|29:Trading,19:Binance|20:Business|29:Trading,"target tag not present; touched post: {
    ""post_id"": 33,
    ""post_modified"": ""2026-05-25 11:39:30""
}"
https://defiliban.io/amid-crypto-hype-googles-cloud-unit-creates-web3-team/,amid-crypto-hype-googles-cloud-unit-creates-web3-team,2259,"Amid Crypto Hype, Google’s Cloud Unit Creates Web3 Team",not_present,20:Business|26:News|29:Trading,20:Business|26:News|29:Trading,"target tag not present; touched post: {
    ""post_id"": 2259,
    ""post_modified"": ""2026-05-25 11:39:36""
}"
https://defiliban.io/galaxy-digital-reports-112m-q1-loss-citing-crypto-price-volatility/,galaxy-digital-reports-112m-q1-loss-citing-crypto-price-volatility,2262,42.5K BTC Reportedly Moved from Luna Foundation Guard Wallet,not_present,25:Money|26:News|27:NFT,25:Money|26:News|27:NFT,"target tag not present; touched post: {
    ""post_id"": 2262,
    ""post_modified"": ""2026-05-25 11:39:40""
}"
https://defiliban.io/markets-are-weak-but-algo-fxs-and-hnt-book-a-20-rally/,markets-are-weak-but-algo-fxs-and-hnt-book-a-20-rally,27,"Markets are Weak, but ALGO, FXS and HNT Book a 20% Rally",not_present,20:Business|24:Mining|29:Trading,20:Business|24:Mining|29:Trading,"target tag not present; touched post: {
    ""post_id"": 27,
    ""post_modified"": ""2026-05-25 11:39:45""
}"
https://defiliban.io/crypto-bahamas-regulations-enter-critical-stage-as-govt-shows-interest/,crypto-bahamas-regulations-enter-critical-stage-as-govt-shows-interest,29,Crypto Bahamas: Regulations Enter Critical Stage as Gov&#8217;t Shows Interest,not_present,20:Business|24:Mining|25:Money,20:Business|24:Mining|25:Money,"target tag not present; touched post: {
    ""post_id"": 29,
    ""post_modified"": ""2026-05-25 11:39:50""
}"
https://defiliban.io/utah-governor-approves-of-blockchain-and-digital-innovation-task-force/,utah-governor-approves-of-blockchain-and-digital-innovation-task-force,2264,Utah Governor Approves of Blockchain and Digital Innovation Task Force,not_present,19:Binance|26:News|27:NFT,19:Binance|26:News|27:NFT,"target tag not present; touched post: {
    ""post_id"": 2264,
    ""post_modified"": ""2026-05-25 11:39:55""
}"
https://defiliban.io/binance-reportedly-halts-crypto-derivatives-service-in-spain/,binance-reportedly-halts-crypto-derivatives-service-in-spain,2258,Binance Reportedly Halts Crypto Derivatives Service in Spain,not_present,25:Money|27:NFT|29:Trading,25:Money|27:NFT|29:Trading,"target tag not present; touched post: {
    ""post_id"": 2258,
    ""post_modified"": ""2026-05-25 11:40:00""
}"
https://defiliban.io/how-to-avoid-front-runners-on-decentralized-crypto-exchanges/,how-to-avoid-front-runners-on-decentralized-crypto-exchanges,2255,How to Avoid Front Runners on Decentralized Crypto Exchanges,not_present,20:Business|25:Money|27:NFT,20:Business|25:Money|27:NFT,"target tag not present; touched post: {
    ""post_id"": 2255,
    ""post_modified"": ""2026-05-25 11:40:07""
}"
https://defiliban.io/seven-times-bitcoin-miners-made-the-world-a-better-place/,seven-times-bitcoin-miners-made-the-world-a-better-place,2256,Seven Times Bitcoin Miners Made the World a Better Place,not_present,20:Business|25:Money|27:NFT,20:Business|25:Money|27:NFT,"target tag not present; touched post: {
    ""post_id"": 2256,
    ""post_modified"": ""2026-05-25 11:40:13""
}"
https://defiliban.io/what-are-the-most-bullish-cryptocurrencies-to-buy-right-now/,what-are-the-most-bullish-cryptocurrencies-to-buy-right-now,28,What are the Most Bullish Cryptocurrencies to Buy Right Now?,not_present,24:Mining|26:News|29:Trading,24:Mining|26:News|29:Trading,"target tag not present; touched post: {
    ""post_id"": 28,
    ""post_modified"": ""2026-05-25 11:40:19""
}"
